Number ,Date,Rating ,Label ,User,Review
1,24 Maret 2023,5,Possitive,Mardianto 1,"Aplikasi ny keren fiturnya juga bnyak dan mudah dimengerti...sekarang beli token,bayar tagihan,tambah daya atau komplen pengaduan gak perlu pakek ribet.semua ny jdi lebih mudah,bisa kapan aja dan dimana aja."
2,3 Maret 2023,5,Possitive,fie nanda,"Aplikasinya keren fiturnya jg banyak dan mudah dimengerti... Sekarang beli token, bayar tagihan, tambah daya atau komplen pengaduan gak perlu pake ribet. Semuanya jd lebih mudah, bisa kapan aja dan dimana aja. Buat yg belum coba, yuk buruan download."
3,13 Januari 2023,4,Possitive,mila zhely,"pertama kali pakai apps PLN utk pengaduan karena tiba2 listrik mati di rumah.. lebih baik saat pengaduan via tlp saja, lalu pengecekannya bisa via apps.. Alhamdulillah.. cepat sekali penanganannya, meski d tlp malam hari, langsung ditangani.. Terima kasih, apps nya lumayan membantu :)"
4,3 Maret 2023,5,Possitive,Syaiful m h,"Sangat membantu untuk pelaporan gangguan dengan respon penganan sangat cepat dilakukan. Lalu sudah bisa juga pengecekan riwayat pembelian token, kalkulasi biaya tambah daya, pembacaan meter secara mandiri dll. Satu aplikasi utk segalanya"
5,12 Maret 2023,3,Negative,Devy Aysah,"Token listrik saya sering ada tulisan periksa, setiap buat pengaduan harus lanjut WhatsApp PLN utk dpt nmr reset, terkadang sering slow respon, padahal lg butuh banget karena tokennya sudah bunyi dan itu berisik ganggu tetangga Mohon ditingkatkan lagi dalam segi pelayanan, dan dipermudah utk dapat kode reset, langsung di aplikasi saja, tidak perlu WhatsApp. Terimakasih"
6,20 Januari 2023,5,Possitive,Andre,"Makin mantep banget sih PLN sekarang, semuanya serba aplikasi. Apalagi aplikasi ini bisa dimanfaatin juga all in one masalah listrik, mulai dari isi token biasa sampai pengaduan dan isi kendaraan listrik di spot2 tertentu. Semoga aplikasi tetap stabil, ringan, dan fungsional. Salut!"
7,2 Maret 2023,2,Negative,Andika Cahyo,"Update tagihan tidak realtime. Setelah melakukan pembayaran tagihan tetap muncul selama beberapa menit meskipun sudah di refresh. Tolong perbaiki. Update : Sudah berkali2 clear cache tetap sama. Jadi ngga mau naikin bintang 5, tak turunin aja jadi bintang 2, krn jawaban tidak solutif. Sepertinya jawaban cuma sekedar template atau script untuk hampir semua masalah yg mungkin terjadi. Gimana mau maju kalau diberi masukan gini doank responnya?"
8,24 Februari 2023,5,Possitive,Yudha Setyadarma,"Aplikasi yang bagus nih, recomended. Saran saya ditambahin pilihan jenis gangguan dan keluhan lebih banyakm karena sepertinya beberapa keluhan yang ada belum sesuai menu. Atau ditambahin pilihan ""lainnya"" dan bisa menulis sendiri apa keluhan dan gangguannya. 👍👍👍👍👍"
9,13 Februari 2023,1,Negative,Adi Pulung,"Sudah saya update,sudah cek email..beli token listrik sering tidak bisa lngsung masuk..cek di transaksi pembayaran dompet digital sudah terbayar,tapi saat dicek di aplikasi PLN Mobile kenapa notif selalu menunggu pembayaran..Sistem sering bermasalah,saat beli token listrik lama sekali masuknya..mohon bisa diperbaiki."
10,13 Februari 2023,1,Negative,Peni Wigati,"Aplikasinya bagus, tapi sudah 2x melakukan pembelian token pembayaran melalui VA dan dana berhasil di debit tapi di aplikasinya masih ""Menunggu Pembayaran"". Nomor token baru keluar beberapa jam kemudian. Padahal kalau transaksi di e-commerce lain nomor token langsung keluar begitu pembayaran berhasil."
11,6 Februari 2023,5,Possitive,apris Seubelan,"Aplikasi yang Sangat baik dan membantu Saat terjadi ganguan langsung laporankan dan cepat penangananya. Juga layanan informasi terbaru terkait pemadaman, tambah daya, Pasang baru dll. Sangat membantu Dengan Satu aplikasi yang mudah digunakan."
12,27 Februari 2023,5,Possitive,Yunita Ramadhani,Apresiasi setinggi tingginya untuk PLN yg menyediakan fitur CHAT pada BANTUAN & LAYANAN. Sudah 2 kali saya menggunakannya. Respons begitu cepat dan baik. Saran: mohon dipermudah sambungan untuk fitur menghubungi 123 dr HP. Maju terus PLN!
